SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,CUDA_cpu,CUDA_wall,CUDASimd_cpu,CUDASimd_wall
967204,967236,344659,344658,4.8396e+06,92432,3.73875e+06,90194,994,998,848,853
966522,966522,346842,346889,4.91961e+06,33371,3.74108e+06,18064,996,1001,848,852
966513,966505,337351,337349,5.15069e+06,85190,3.12452e+06,82085,992,997,848,852
966565,966557,337538,337535,4.50124e+06,92250,4.08892e+06,19993,994,999,848,853
968437,968428,316655,316672,4.7774e+06,91022,3.62524e+06,83705,995,999,850,855
966373,966365,307708,307706,5.16051e+06,31444,3.85734e+06,17548,995,1000,849,853
966354,966346,329344,329343,5.25178e+06,82846,3.40793e+06,89037,1013,1000,848,853
966257,966249,332812,332820,4.59584e+06,100355,5.05871e+06,96054,993,998,849,854
966538,966530,305373,305372,5.30798e+06,89723,2.61462e+06,11295,993,998,850,855
966683,966676,322996,322995,5.23008e+06,94863,3.02044e+06,82435,995,1000,848,854
966544,966609,332546,332544,5.00674e+06,28709,4.036e+06,17719,993,998,848,853
966368,966360,307081,307130,5.34031e+06,90366,3.83231e+06,91981,993,998,847,852
